Category,Names,DQR,Agriculture,Transformation,Packaging,Transportation,Supermarket and distribution,Consumption,Total, Images
Vegetable,Eggplant,2.72,0.18,0,0,0.26,0.02,0.01,0.47,"""img/Veg/Eggplant.png"""
Vegetable,Beetroot,2.91,0.09,0,0,0.26,0.02,0.03,0.41,"""img/Veg/Beetroot.png"""
Vegetable,Broccoli,2.94,0.49,0.12,0.12,0.24,0.07,0.03,1.06,"""img/Veg/Broccoli.png"""
Vegetable,Carrot,2.24,0.08,0,0,0.26,0.02,0.03,0.4,"""img/Veg/Carrot.png"""
Vegetable,Celery,2.88,0.44,0,0,0.25,0.02,0.01,0.72,"""img/Veg/Celery.png"""
Vegetable,Morel,2.88,5.74,0,0,0.3,0.06,0.08,6.17,"""img/Veg/Morel.png"""
Vegetable,Brussels sprout,2.94,0.25,0.09,0.12,0.23,0.07,0.03,0.78,"""img/Veg/Brussels_sprouts.png"""
Vegetable,Cauliflower,2.1,0.31,0,0,0.3,0.03,0.08,0.72,"""img/Veg/Cauliflower.png"""
Vegetable,Cucumber,2.64,0.2,0,0,0.26,0.02,0.03,0.51,"""img/Veg/Cucumber.png"""
Vegetable,"Squash, butternut",2.99,0.21,0,0,0.33,0.03,0.08,0.64,"""img/Veg/Butternut_Squash.png"""
Vegetable,Artichoke,2.64,0.62,0,0,0.6,0.05,1.29,2.56,"""img/Veg/Artichoke.png"""
Vegetable,Avocado,2.81,0.88,0,0,0.51,0.03,0.14,1.55,"""img/Veg/Avocado.png"""
Vegetable,Courgette,2.95,0.18,0,0,0.26,0.02,0.03,0.5,"""img/Veg/Courgette.png"""
Vegetable,Spinach,2.58,0.12,0,0,0.25,0.05,0.01,0.42,"""img/Veg/Spinach.png"""
Vegetable,French bean,2.09,0.12,0,0,0.26,0.03,0.04,0.45,"""img/Veg/French_bean.png"""
Vegetable,Romaine lettuce,2.66,0.18,0,0,0.4,0.07,0.22,0.87,"""img/Veg/Romaine_lettuce.png"""
Vegetable,Sweet corn,2.52,0.45,0.12,0.12,0.21,0.07,0.03,0.99,"""img/Veg/Sweet_corn.png"""
Vegetable,Turnip,2.83,0.08,0,0,0.26,0.02,0.03,0.4,"""img/Veg/Turnip.png"""
Vegetable,Onion,2.39,0.1,0,0,0.27,0.02,0.03,0.42,"""img/Veg/Onion.png"""
Vegetable,Asparagus,2.75,0.97,0,0,0.42,0.04,0.22,1.64,"""img/Veg/Asparagus.png"""
Vegetable,Garden peas,1.76,0.32,0.07,0.12,0.21,0.07,0.03,0.81,"""img/Veg/Garden_peas.png"""
Vegetable,Leek,2.52,0.21,0,0,0.3,0.02,0.08,0.61,"""img/Veg/Leek.png"""
Vegetable,Pumpkin,2.99,0.21,0,0,0.33,0.03,0.08,0.64,"""img/Veg/Pumpkin.png"""
Vegetable,Tomato,2.77,0.33,0,0,0.32,0.03,0.08,0.75,"""img/Veg/Tomato.png"""
Vegetable,Potato,2.26,0.11,0,0.45,0.19,0.02,0.01,0.79,"""img/Veg/Potato.png"""
Fruit,Apricot,2.18,0.35,0,0.66,0.34,0.02,0.08,1.45,"""img/Fruit/Apricot.png"""
Fruit,Banana,2.61,0.3,0,0,0.45,0.03,0.14,0.91,"""img/Fruit/Banana.png"""
Fruit,Lemon,2.72,0.19,0,0,0.41,0.03,0.14,0.76,"""img/Fruit/Lemon.png"""
Fruit,"Quince, raw",2.94,0.1,0,0,0.36,0.02,0.08,0.56,"""img/Fruit/Quince.png"""
Fruit,Strawberry,2.41,0.24,0,0,0.27,0.01,0.01,0.53,"""img/Fruit/Strawberry.png"""
Fruit,Kiwi,1.94,0.48,0.01,0,0.41,0.01,0.08,1,"""img/Fruit/Kiwi.png"""
Fruit,Pineapple,2.86,0.37,0,0,0.65,0.03,0.32,1.36,"""img/Fruit/Apricot.png"""
Fruit,Mandarin,2.74,0.01,0,0,0.36,0.02,0.08,0.47,"""img/Fruit/Pineapple.png"""
Fruit,Mango,2.94,0.15,0,0,0.47,0.02,0.08,0.73,"""img/Fruit/Mango.png"""
Fruit,Cantaloupe,2.87,0.32,0,0,0.42,0.03,0.22,0.98,"""img/Fruit/Cantaloupe.png"""
Fruit,Papaya,2.67,0.18,0,0,0.65,0.02,0.08,0.93,"""img/Fruit/Papaya.png"""
Fruit,Watermelon,2.87,0.24,0,0,0.35,0.02,0.08,0.68,"""img/Fruit/Watermelon.png"""
Fruit,Peach,2.36,0.18,0,0,0.31,0.02,0.08,0.59,"""img/Fruit/Peach.png"""
Fruit,Pear,2.69,0.07,0,0,0.27,0.01,0.03,0.39,"""img/Fruit/Pear.png"""
Fruit,Apple,2.01,0.09,0,0,0.26,0.02,0.03,0.41,"""img/Fruit/Apple.png"""
Fruit,Cherry,2.2,0.64,0,0.66,0.34,0.02,0.08,1.74,"""img/Fruit/Cherry.png"""
Fruit,Grape,2.7,0.17,0,0,0.29,0.02,0.03,0.51,"""img/Fruit/Grapes.png"""
Fruit,Blueberry,3.49,0.65,0,0,0.25,0.02,0.01,0.92,"""img/Fruit/Blueberry.png"""
Fruit,Raspberry,4.05,1.04,0,0,0.48,0.01,0.01,1.55,"""img/Fruit/Raspberry.png"""
Fruit,"Fig, raw",3.49,0.18,0,0,0.33,0.02,0.08,0.61,"""img/Fruit/Fig.png"""
Fruit,Blackberry,4.13,0.7,0,0,0.25,0.02,0.01,0.97,"""img/Fruit/Blackberry.png"""
Fruit,Pomegranate,3.05,0.1,0,0,0.3,0.02,0.08,0.5,"""img/Fruit/Pomegranate.png"""
Fruit,Passion fruit,3.59,0.54,0,0,0.3,0.02,0.08,0.94,"""img/Fruit/Passion_fruit.png"""
Meat,Egg,2.44,1.49,0,0.11,0.19,0.01,0.08,1.88,"""img/Meat/Eggs.png"""
Meat,Lamb,2.97,40.6,0.07,0.25,0.37,0.05,0.09,41.4,"""img/Meat/Lamb.png"""
Meat,Duck,2.98,6.05,1.04,0.47,0.36,0.05,0.09,8.06,"""img/Meat/Duck.png"""
Meat,Young goat,2.97,40.6,0.07,0.25,0.37,0.05,0.09,41.4,"""img/Meat/Goat.png"""
Meat,Turkey,2.13,3,0.83,0.38,0.31,0.04,0.01,4.56,"""img/Meat/Turkey.png"""
Meat,Rabbit,2.12,3.75,1.04,0.47,0.38,0.05,0.09,5.78,"""img/Meat/Rabbit.png"""
Meat,Goose,2.12,3.75,1.04,0.06,0.32,0.05,0.09,5.31,"""img/Meat/Goose.png"""
Meat,Beef,2.85,28.3,0.12,0.2,0.29,0.04,0.01,28.9,"""img/Meat/Beef.png"""
Meat,Guinea fowl,2.12,3.75,1.04,0.47,0.38,0.05,0.09,5.78,"""img/Meat/Guinea_fowl.png"""
Meat,Pork,2.85,6.06,0,0.2,0.26,0.04,0.01,6.57,"""img/Meat/Pork.png"""
Meat,Mutton,2.97,32.5,0.05,0.2,0.29,0.04,0.01,33.1,"""img/Meat/Mutton.png"""
Meat,Chicken,2.09,3.75,1.09,0.38,0.32,0.04,0.01,5.58,"""img/Meat/Chicken.png"""
Meat,Veal,2.87,22.5,0.11,0.2,0.29,0.04,0.01,23.2,"""img/Meat/Veal.png"""
Legumes,Broad bean,2.85,0.51,0,0.13,0.15,0.07,0,0.86,"""img/Legumes/Broad_bean.png"""
Legumes,Mung Bean,2.95,0.1,0,0.13,0.28,0.07,0,0.57,"""img/Legumes/Mung.png"""
