Category,Names,DQR,Agriculture,Transformation,Packaging,Transportation,Supermarket and distribution,Consumption,Total
Fish,Haddock,2.93,10.30,0.00,0.47,1.27,0.04,0.01,12.00
Fish,Mediterranean bass,2.94,10.70,0.00,0.47,1.09,0.04,0.01,12.30
Fish,Anchovy,2.73,1.01,0.00,0.47,0.98,0.04,0.01,2.51
Fish,Herring,2.74,1.18,0.00,0.47,0.98,0.04,0.01,2.68
Fish,Sardine,2.72,0.78,0.00,0.47,0.98,0.04,0.01,2.28
Fish,Rainbow trout,2.93,4.67,0.00,0.47,0.98,0.04,0.01,6.17
Fish,Mackerel,2.74,1.15,0.00,0.47,0.95,0.04,0.01,2.62
Fish,Tuna,2.90,3.61,0.00,0.47,0.86,0.04,0.01,4.98
Fish,Salmon,2.52,4.16,0.03,0.47,0.85,0.04,0.01,5.55
Fruit,Papaya,2.67,0.18,0.00,0.00,0.65,0.02,0.08,0.93
Fruit,Pineapple,2.86,0.37,0.00,0.00,0.65,0.03,0.32,1.36
Nuts,Pistachio,4.23,5.83,0.00,0.38,0.64,0.05,0.32,7.22
Vegetable,Artichoke,2.64,0.62,0.00,0.00,0.60,0.05,1.29,2.56
Vegetable,Avocado,2.81,0.88,0.00,0.00,0.51,0.03,0.14,1.55
Nuts,Cashew nut,3.66,2.65,0.20,0.19,0.50,0.02,0.00,3.56
Fruit,Raspberry,4.05,1.04,0.00,0.00,0.48,0.01,0.01,1.55
Fruit,Mango,2.94,0.15,0.00,0.00,0.47,0.02,0.08,0.73
Fruit,Banana,2.61,0.30,0.00,0.00,0.45,0.03,0.14,0.91
Vegetable,Asparagus (green),2.75,0.97,0.00,0.00,0.42,0.04,0.22,1.64
Fruit,"Melon, cantaloupe",2.87,0.32,0.00,0.00,0.42,0.03,0.22,0.98
Fruit,Kiwi,1.94,0.48,0.01,0.00,0.41,0.01,0.08,1.00
Nuts,Flaxseed,2.41,0.89,1.48,0.38,0.41,0.05,0.32,3.53
Fruit,Lemon,2.72,0.19,0.00,0.00,0.41,0.03,0.14,0.76
Vegetable,Romaine lettuce,2.66,0.18,0.00,0.00,0.40,0.07,0.22,0.87
Meat,Rabbit,2.12,3.75,1.04,0.47,0.38,0.05,0.09,5.78
Meat,Guinea fowl,2.12,3.75,1.04,0.47,0.38,0.05,0.09,5.78
Meat,Lamb,2.97,40.60,0.07,0.25,0.37,0.05,0.09,41.40
Meat,Young goat,2.97,40.60,0.07,0.25,0.37,0.05,0.09,41.40
Fruit,"Quince, raw",2.94,0.10,0.00,0.00,0.36,0.02,0.08,0.56
Meat,Duck,2.98,6.05,1.04,0.47,0.36,0.05,0.09,8.06
Nuts,Almond,3.10,1.87,0.20,0.19,0.36,0.02,0.00,2.63
Fruit,Mandarin,2.74,0.01,0.00,0.00,0.36,0.02,0.08,0.47
Nuts,Sunflower seed,2.57,1.80,0.02,0.38,0.35,0.05,0.32,2.91
Fruit,Watermelon,2.87,0.24,0.00,0.00,0.35,0.02,0.08,0.68
Fruit,Apricot,2.18,0.35,0.00,0.66,0.34,0.02,0.08,1.45
Fruit,Cherry,2.20,0.64,0.00,0.66,0.34,0.02,0.08,1.74
